PROVINCIA,MUNICIPIO,IDMuni,Lon,Lat,Year,Month,pr,rperc,rdec,condicion,rdecmod,rachas,anom,Z,catZ,SPI6,Intense
Pinar del Río,San Juan y Martínez,1,-83.86942,22.29067,2025,8,526.9,61.1,1,2,-3,4,-336,-1.59,3,-1.76,4
Artemisa,San Cristóbal,2,-83.11081,22.6599,2025,8,482.2,57.4,1,2,-3,4,-357.6,-2.15,3,-2.44,4
Artemisa,Candelaria,3,-82.9659,22.74697,2025,8,607.3,71.9,1,2,-3,2,-237,-1.28,2,-1.33,3
Artemisa,Bahía Honda,4,-83.1675,22.89139,2025,8,448.2,54.8,1,2,-3,3,-369.4,-2,3,-2.34,4
Pinar del Río,La Palma,5,-83.51162,22.74648,2025,8,530.9,59.5,1,2,-3,5,-360.7,-2.18,3,-2.46,4
Pinar del Río,Pinar del Río,6,-83.62589,22.36318,2025,8,582.6,68.4,1,2,-3,4,-269.5,-1.43,3,-1.54,4
Pinar del Río,Viñales,7,-83.74026,22.6272,2025,8,589,64,1,2,-3,4,-330.8,-1.99,3,-2.19,4
Pinar del Río,San Luis,8,-83.71546,22.24365,2025,8,459.7,56.1,1,2,-3,4,-360.4,-1.84,3,-2.09,4
Pinar del Río,Guane,9,-84.06598,22.26145,2025,8,570.3,65.5,1,2,-3,4,-300.5,-1.57,3,-1.77,4
Pinar del Río,Minas de Matahambre,10,-83.96242,22.54165,2025,8,722.8,75.4,1,2,-3,4,-235.5,-1.3,2,-1.31,3
Pinar del Río,Mantua,11,-84.25823,22.34236,2025,8,783.1,84.8,2,1,-2,1,-140,-0.69,2,-0.65,2
Pinar del Río,Sandino,12,-84.35614,21.97141,2025,8,448.2,60.6,1,2,-3,4,-291.9,-1.77,3,-1.96,4
Pinar del Río,Consolación del Sur,13,-83.43949,22.44137,2025,8,519,60.8,1,2,-3,6,-334,-1.85,3,-2.05,4
Pinar del Río,Los Palacios,14,-83.25597,22.5271,2025,8,462.4,55.1,1,2,-3,6,-377.2,-2.17,3,-2.51,4
Artemisa,San Antonio de los Baños,15,-82.50576,22.88307,2025,8,392.1,44.7,1,2,-3,4,-485.6,-2.93,3,-3.63,4
Mayabeque,Bejucal,16,-82.34828,22.9126,2025,8,537,60,1,2,-3,4,-358.6,-2.08,3,-2.51,4
